concepto,definicion
actitud,actitud - La actitud se define como la asociación entre un objeto y un valor dado. Un ejemplo de actitud explícita favorable es simplemente mencionar 'mi actitud hacia el uso de FliflaxBot es muy favorable'.
aprendizaje,aprendizaje - El aprendizaje es un proceso que implica un cambio duradero en la conducta -o en la capacidad para comportarse de una determinada manera- que se produce como resultado de la práctica o de otras formas de experiencia
atención selectiva,atención selectiva - La atención selectiva permite al perceptor procesar estímulos relevantes mientras suprime el procesamiento de estímulos irrelevantes que pueden aparecer simultáneamente en el campo sensorial junto a los relevantes.
audiencia neta acumulada,audiencia neta acumulada - La audiencia neta acumulada es el número de personas alcanzadas al menos una vez en un plan de un único soporte y n inserciones.
audiencia útil,audiencia útil - La audiencia útil se define como el número de personas de la audiencia (bruta) que pertenece a la población objetivo.
audiencia,audiencia - La audiencia (bruta) se define como el número de personas que frecuentan regularmente un soporte.
cobertura efectiva,cobertura efectiva - La cobertura efectiva se cuantifica como el volumen de población objetivo que debe exponerse al menos la frecuencia efectiva mínima.
cobertura neta acumulada,cobertura neta acumulada - La cobertura neta acumulada es el número de personas alcanzadas al menos una vez mediante un plan de N soportes y n inserciones por soporte.
cobertura neta,cobertura neta - La cobertura neta es el número de personas alcanzadas al menos una vez mediante un plan de N soportes y una única inserción por soporte.
cobertura,cobertura - La cobertura es el número de personas alcanzadas al menos una vez.
comprensión selectiva,comprensión selectiva - La comprensión selectiva se relaciona con la interpretación 'selectiva' que el receptor hace de los contenidos en función de su conjunto de creencias y normas (e.g. personales o sociales); también de sus actitudes y experiencias pasadas (e.g. 'eso no puede ser verdad').
comunicación integradas de marketing,comunicación integradas de marketing - Concepto que reconoce el valor añadido de un plan global que valora el papel estratégico de las distintas fuentes / herramientas de comunicación y las combina para lograr claridad y consistencia y también el máximo impacto comunicativo.
consistencia estratégica,consistencia estratégica - La consistencia estratégica es un concepto asociado a las comunicaciones integradas de marketing (CIM). Se refiere a la unicidad del mensaje que va a transmitirse con cada una de las herramientas de comunicación. Se relaciona con el conjunto de asociaciones que conforman la estructura cognitiva de la marca en la memoria del consumidor.
consistencia táctica,consistencia táctica - La consistencia táctica entre las herramientas de comunicación es un concepto asociado a las comunicaciones integradas de marketing (CIM). Se basa en la existencia de elementos sonoros o visuales o verbales de ejecución de los anuncios que son compartidos por las diversas herramientas empleadas dentro del plan.
CPM,CPM - CPM se define como el coste de alcanzar a mil personas de la audiencia. Se calcula dividiendo el precio de una inserción entre la audiencia del soporte. El resultado se multiplica por 1.000.
CPP,CPP - CPP se define como el coste de alcanzar a un 1 % de la población. Se calcula dividiendo el precio de una inserción entre el rating del soporte.
