URL Prisma;Año de Publicación;Tipo;Título;Fuente;ISSN;ISBN;Datos de la Publicación;Editor;Autores;Autoría preferente;Autores US;Total Autores;Afiliaciones;Afiliaciones Internacionales Sí/No;Afiliaciones Internacionales;DOI;Cód. WOS;Cód. Scopus;Cód. PubMed;Id. idUS;Cód. Dialnet;Vía Acceso;Dialnet
https://bibliometria.us.es/prisma/publicacion/208656;2023;Revista;Lean on me when you’re not out: interactive effects of coworker support and concealment on transgender employees’ commitment and effort;Equality, Diversity and Inclusion;"2040-7149;1758-7093";;42 (1), 1-17;;"Goldberg, Caren;Willham, Val";Sí;Goldberg, Caren [8151];2;Universidad de Sevilla;No;-;10.1108/EDI-10-2021-0268;WOS:000834720000001;2-s2.0-85135208940;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/217936;2023;Revista;The differential effects of potential and realized absorptive capacity on imitation and innovation strategies, and its impact on sustained competitive advantage;JOURNAL OF BUSINESS RESEARCH;0148-2963;;158;ELSEVIER SCIENCE INC;"Algarni, Mohammad A.;Ali, Murad;Leal-Rodríguez, Antonio L.;Albort-Morant, Gema";No;"Leal-Rodríguez, Antonio L. [2157];Albort-Morant, Gema [5798]";4;"King Abdulaziz University;University of Northumbria;Universidad de Sevilla";Sí;"King Abdulaziz University;University of Northumbria";10.1016/j.jbusres.2023.113674;-;2-s2.0-85146671378;-;-;-;Híbrida;-
https://bibliometria.us.es/prisma/publicacion/217112;2023;Revista;Predicting fintech innovation adoption: the mediator role of social norms and attitudes;Financial Innovation;2199-4730;;9 (1);;"Irimia-Diéguez, A.;Velicia-Martín, F.;Aguayo-Camacho, M.";No;"Irimia-Diéguez, A. [2026];Velicia-Martín, F. [4320];Aguayo-Camacho, M. [35]";3;Universidad de Sevilla;No;-;10.1186/s40854-022-00434-6;WOS:000913771100003;2-s2.0-85146318219;-;-;-;Dorada;-
https://bibliometria.us.es/prisma/publicacion/199576;2023;Revista;Motivational factors to participate in conferences and gender differences;Tourism and Hospitality Research;"1467-3584;1742-9692";;23 (1), 3-16;;"López-Bonilla, Jesús Manuel;Monroy-Rodríguez, Sandra;López-Bonilla, Luis Miguel;Granados-Perea, Concepción";Sí;"López-Bonilla, Jesús Manuel [2235];López-Bonilla, Luis Miguel [2236]";4;Universidad de Sevilla;No;-;10.1177/14673584221075735;WOS:000772427400001;2-s2.0-85125918106;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/219478;2023;Revista;Explaining the consumption technology acceptance in the elderly post-pandemic: effort expectancy does not matter.;BEHAVIORAL SCIENCES;2076-328X;;13 (2);MDPI;"Ramírez-Correa, Patricio;Grandon, Elizabeth Eliana;Ramírez-Santana, Muriel;Arenas-Gaitán, Jorge;Rondán-Cataluña, F. Javier";Sí;"Arenas-Gaitán, Jorge [198];Rondán-Cataluña, F. Javier [3755]";5;-;-;-;10.3390/bs13020087;WOS:000938243000001;2-s2.0-85148862444;36829316;-;-;Dorada;-
https://bibliometria.us.es/prisma/publicacion/184199;2023;Revista;Are different entrepreneurship-promotion activities equally effective? An analysis by academic year and gender;INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL;"1554-7191;1555-1938";;19 (1), 1-25;SPRINGER;"Padilla-Angulo, Laura;Díaz-Pichardo, René;Leal-Rodríguez, Antonio Luis";Sí;Leal-Rodríguez, Antonio Luis [2157];3;"Universidad Loyola Andalucia;South Champagne Business School;Universite de Technologie de Troyes;Universidad de Sevilla";Sí;"South Champagne Business School;Universite de Technologie de Troyes";10.1007/s11365-021-00756-4;WOS:000661352500001;2-s2.0-85107879548;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/217895;2023;Revista;How to measure cultural fit in organizations. The CFAM method;WPOM-WORKING PAPERS ON OPERATIONS MANAGEMENT;1989-9068;;14 (1), 1-10;UNIV POLITECNICA VALENCIA;"Leal-Rodríguez, A. L.;Sanchís-Pedregosa, C.;Moreno-Moreno, A. M.";Sí;"Leal-Rodríguez, A. L. [2157];Sanchís-Pedregosa, C. [3974];Moreno-Moreno, A. M. [2830]";3;-;-;-;10.4995/wpom.17628;WOS:000904632000001;-;-;-;ARTREV 8782834;Dorada;Texto Completo
https://bibliometria.us.es/prisma/publicacion/216943;2023;Revista;Impact of effectual propensity on entrepreneurial intention;JOURNAL OF BUSINESS RESEARCH;0148-2963;;157;ELSEVIER SCIENCE INC;"Martín-Navarro, Alicia;Velicia-Martín, Felix;Medina-Garrido, José Aurelio;Palos-Sánchez, Pedro R.";No;"Velicia-Martín, Felix [4320];Palos-Sánchez, Pedro R. [5070]";4;"Universidad de Sevilla;Universidad de Cadiz";No;-;10.1016/j.jbusres.2022.113604;-;2-s2.0-85146132562;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/208429;2023;Revista;The effect of innovation efficiency management on performance: Differences according to organizational size;Managerial and Decision Economics;"0143-6570;1099-1468";;44 (1), 336-358;John Wiley & Sons, Inc.;"Rubio?Picón, Concepción;Velasco?Morente, Francisco;Ramos?Hidalgo, Encarnación;Agustí, María A.";Sí;"Rubio?Picón, Concepción [3787];Velasco?Morente, Francisco [4310];Ramos?Hidalgo, Encarnación [3463];Agustí, María A. [7372]";4;-;-;-;10.1002/mde.3685;WOS:000835868100001;2-s2.0-85135212636;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/215646;2023;Revista;Intention to use e-commerce vs physical shopping. Difference between consumers in the post-COVID era;JOURNAL OF BUSINESS RESEARCH;0148-2963;;157;ELSEVIER SCIENCE INC;"Higueras-Castillo, Elena;Liébana-Cabanillas, Francisco J.;Villarejo-Ramos, Ángel F.";Sí;Villarejo-Ramos, Ángel F. [4367];3;Universidad de Granada;No;-;10.1016/j.jbusres.2022.113622;-;2-s2.0-85145402212;-;-;-;Híbrida;-
